Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,Salary,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro,YearsCodeProNew,YearsCodeProCat,.fitted,cnts
33193,I am a developer by profession,No,23,16,Yearly,68000,68000,United States,United States dollar,USD,MySQL,MySQL,Full-Stack Developer,Bachelor's,Employed full-time,White or of European descent,Woman,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Dart;HTML/CSS;Java;JavaScript;Python;Ruby,Bash/Shell/PowerShell;C++;Dart;Java;JavaScript,Flutter;React Native;Unity 3D,Flutter,"Confluence;Github;Slack;Google Suite (Docs, Meet, etc)","Github;Microsoft Teams;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Fairly important,Just because;Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Trouble with my teammates;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once every few years,Not sure,No,No,Occasionally: 1-2 days per quarter but less than monthly,NA,Annoyed,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Do other work and come back later,MacOS,NA,Android;AWS;Docker;iOS;Microsoft Azure;Raspberry Pi,Android;Arduino;iOS;MacOS,I have little or no influence,Straight / Heterosexual,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Gatsby;React.js;Ruby on Rails,NA,Just as welcome now as I felt last year,40,7,2,2,Less than 5 years,0.0992169686914307,1
862,I am a developer by profession,Yes,27,18,Yearly,110000,110000,United States,United States dollar,USD,Cassandra;Elasticsearch;MongoDB;MySQL;Redis,IBM DB2;MySQL,Full-Stack Developer,Bachelor's,Employed full-time,White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Slightly dissatisfied,I am not interested in new job opportunities,Go;HTML/CSS;Java;Python;SQL;TypeScript,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Node.js,Node.js,Confluence;Github;Slack,Confluence;Github;Slack,Yes,Extremely important,Somewhat important,Curious about other opportunities;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Once every few years,Not sure,No,No,Occasionally: 1-2 days per quarter but less than monthly,NA,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,MacOS,"10,000 or more employees",Google Cloud Platform;Linux;Raspberry Pi,Google Cloud Platform;Linux,I have little or no influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",React.js;Spring,Angular;React.js;Spring,Just as welcome now as I felt last year,40,9,5,5,5-9 years,0.0993238778938888,1
45815,I am a developer by profession,No,27,18,Yearly,111000,111000,United States,United States dollar,USD,DynamoDB,DynamoDB;Microsoft SQL Server;MongoDB,Full-Stack Developer,Bachelor's,Employed full-time,White or of European descent,Woman,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Java;Python,Bash/Shell/PowerShell;C#;TypeScript,.NET Core;Node.js,.NET Core;Node.js,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Microsoft Teams;Google Suite (Docs, Meet, etc)",No,Extremely important,Not at all important/not necessary,Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Once a year,Yes,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,NA,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,"10,000 or more employees",AWS;Docker;Kubernetes;Linux;Windows,AWS;Docker;Kubernetes;Linux;Windows,I have little or no influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Django;React.js;Spring,Angular;ASP.NET Core,Just as welcome now as I felt last year,40,9,5,5,5-9 years,0.0993238778938888,1
51636,I am a developer by profession,No,31,21,Yearly,90000,90000,United States,United States dollar,USD,Firebase;Oracle;PostgreSQL,Microsoft SQL Server;Oracle,Back-End Developer,Bachelor's,Employed full-time,White or of European descent,Woman,Flex time or a flexible schedule;Remote work options;Office environment or company culture,Very satisfied,I am not interested in new job opportunities,Java;Python;SQL;TypeScript,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,NA,Node.js,Jira;Github,Jira;Github;Microsoft Teams,No,Extremely important,Very important,Just because;Better compensation;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",NA,Yes,Onboarding? What onboarding?,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Windows,"10,000 or more employees",AWS;Kubernetes;Windows,Docker;Windows,I have some influence,Bisexual,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",React.js;Spring,Angular;jQuery;Spring,Just as welcome now as I felt last year,38,10,8,8,5-9 years,0.09945470883572984,1
32343,I am a developer by profession,No,30,21,Yearly,85000,85000,United States,United States dollar,USD,Microsoft SQL Server;MongoDB,Microsoft SQL Server;MongoDB,Full-Stack Developer,Bachelor's,Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Office environment or company culture;Family friendliness,Very satisfied,I am not interested in new job opportunities,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL,.NET Core;Node.js,.NET Core;Node.js,Github;Slack;Trello,Confluence;Jira;Github;Slack;Microsoft Teams,Yes,Extremely important,Somewhat important,Better compensation;Trouble with leadership at my company,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once every few years,No,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,NA,Indifferent,Stack Overflow (public Q&A for anyone who codes),Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,100 to 499 employees,Android;Docker;iOS;MacOS;Slack Apps and Integrations;Windows,Linux;MacOS;Slack Apps and Integrations;Windows,I have little or no influence,Straight / Heterosexual,No,"No, not really",NA,Daily or almost daily,Easy,Appropriate in length,No,"Information systems, information technology, or system administration",ASP.NET Core;jQuery;React.js,ASP.NET;ASP.NET Core;jQuery;React.js,Just as welcome now as I felt last year,40,8,6,6,5-9 years,0.09945691244728506,1
53409,I am a developer by profession,Yes,31,12,Yearly,185000,185000,United States,United States dollar,USD,PostgreSQL;Redis,PostgreSQL;Redis,DevOps Specialist,Graduate,Employed full-time,White or of European descent,Man,Financial performance or funding status of the company or organization;Office environment or company culture;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C#;Go;JavaScript;Python;SQL,Bash/Shell/PowerShell;C#;JavaScript;SQL,.NET;.NET Core;Node.js;Teraform,.NET;.NET Core;Node.js;Teraform,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Very important,Just because;Curious about other opportunities;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once a year,Not sure,No,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later,Windows,100 to 499 employees,AWS;iOS;MacOS;Windows,AWS;iOS;MacOS;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,A few times per week,Neither easy nor difficult,Appropriate in length,No,"A natural science (such as biology, chemistry, physics, etc.)",ASP.NET;ASP.NET Core;React.js,ASP.NET;ASP.NET Core;React.js,Just as welcome now as I felt last year,40,12,10,10,10-14 years,0.09973510608360087,1
29943,I am a developer by profession,Yes,24,8,Yearly,95000,95000,United States,United States dollar,USD,MongoDB,MongoDB;MySQL;PostgreSQL,Front-End Developer,Bachelor's,Employed full-time,White or of European descent,Woman,Diversity of the company or organization;Flex time or a flexible schedule;Remote work options,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;Python;TypeScript,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Python;TypeScript,NA,Ansible,Gitlab;Slack,Confluence;Gitlab;Slack;Microsoft Teams,Not sure,Extremely important,Fairly important,Just because;Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Directly asking current or past employees at the company",Once a year,Yes,No,Yes,Rarely: 1-2 days per year or less,Start a free trial;Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,100 to 499 employees,Linux;Raspberry Pi;Windows,Linux;Raspberry Pi;Windows,I have some influence,Bisexual;Gay or Lesbian;Queer,Yes,"No, not at all",Less than once per month or monthly,Multiple times per day,Easy,Appropriate in length,Yes,"Computer science, computer engineering, or software engineering",Django;Flask;jQuery;Vue.js,Django;Flask;jQuery;Vue.js,Just as welcome now as I felt last year,40,7,3,3,Less than 5 years,0.09973527367923181,1
7389,I am a developer by profession,Yes,24,15,Yearly,63000,63000,United States,United States dollar,USD,MongoDB,MongoDB;MySQL,Front-End Developer,Bachelor's,Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Remote work options;How widely used or impactful my work output would be,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;JavaScript,HTML/CSS;JavaScript;PHP;SQL,Node.js,Node.js,Github;Gitlab;Microsoft Teams,Github;Gitlab;Microsoft Teams,Yes,Extremely important,Somewhat important,Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Trouble with my teammates;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Once a year,No,Yes,Yes,Never,Start a free trial;Ask developers I know/work with;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,MacOS,20 to 99 employees,MacOS,MacOS,I have a great deal of influence,Straight / Heterosexual,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular.js;Express;React.js;Vue.js,Angular.js;Express;React.js,Just as welcome now as I felt last year,40,10,2,2,Less than 5 years,0.09983810611205596,1
58231,I am a developer by profession,Yes,37,12,Yearly,109500,109500,United States,United States dollar,USD,DynamoDB;Elasticsearch;PostgreSQL;Redis,Elasticsearch;MySQL;SQLite,Data Engineer,Bachelor's,Employed full-time,White or of European descent,Woman,Industry that I’d be working in;Financial performance or funding status of the company or organization;Office environment or company culture,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C;C++;Go;Python,Bash/Shell/PowerShell;HTML/CSS;Python;SQL,Ansible;Chef;Keras;Pandas;TensorFlow;Teraform,Ansible;Keras;Pandas;Teraform,"Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams","Confluence;Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,Fairly important,Having a bad day (or week or month) at work;Better compensation;Trouble with my teammates;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Once every few years,No,No,No,Rarely: 1-2 days per year or less,NA,Indifferent,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later,Linux-based,"1,000 to 4,999 employees",Arduino;AWS;Docker;Heroku;Kubernetes;Linux;Raspberry Pi;Slack Apps and Integrations,AWS;Docker,I have little or no influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"A business discipline (such as accounting, finance, marketing, etc.)",Django;Flask,Django,Just as welcome now as I felt last year,40,5,5,5,5-9 years,0.0998398484525832,1
13872,I am a developer by profession,Yes,27,13,Yearly,36000,36000,United States,United States dollar,USD,NA,Microsoft SQL Server;PostgreSQL,Front-End Developer,Bachelor's,Employed full-time,White or of European descent,Woman,Diversity of the company or organization;Remote work options;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Kotlin,Bash/Shell/PowerShell;C;C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,NA,.NET;.NET Core;Node.js,NA,Github;Microsoft Teams,No,Somewhat important,Very important,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,Not sure,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,NA,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,Windows,"1,000 to 4,999 employees",NA,Google Cloud Platform;Microsoft Azure;Windows,I have little or no influence,NA,Yes,"No, not really",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,ASP.NET;ASP.NET Core;jQuery,Just as welcome now as I felt last year,32,10,5,5,5-9 years,0.0998591358488688,1
20463,I am a developer by profession,Yes,25,20,Yearly,100000,100000,United States,United States dollar,USD,Elasticsearch;Firebase,Elasticsearch;Microsoft SQL Server;Oracle;PostgreSQL,Back-End Developer,Bachelor's,Employed full-time,South Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Opportunities for professional development",Very satisfied,I am not interested in new job opportunities,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Python;SQL,Bash/Shell/PowerShell;JavaScript;Python;SQL,.NET;.NET Core;Apache Spark;Node.js;Pandas;React Native;TensorFlow;Torch/PyTorch,Pandas,Github;Gitlab;Slack;Microsoft Azure,Jira;Github;Microsoft Teams,Yes,Extremely important,Not at all important/not necessary,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once a year,No,Onboarding? What onboarding?,No,Often: 1-2 days per week or more,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,MacOS,500 to 999 employees,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;MacOS;Microsoft Azure;Raspberry Pi;Slack Apps and Integrations;Windows,Docker;Linux;MacOS;Slack Apps and Integrations;Windows,I have little or no influence,Straight / Heterosexual,No,Neutral,NA,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET;ASP.NET Core;Django;Express;Flask;React.js;Vue.js,Flask,Just as welcome now as I felt last year,50,3,1,1,Less than 5 years,0.09986516544933564,1
52359,I am a developer by profession,No,38,18,Yearly,150000,150000,United States,United States dollar,USD,NA,Firebase;MySQL;PostgreSQL;SQLite,Designer,Bachelor's,Employed full-time,White or of European descent,Woman,Industry that I’d be working in;Flex time or a flexible schedule;Remote work options,Very dissatisfied,I am not interested in new job opportunities,NA,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,NA,React Native,NA,"Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",No,Neutral,Very important,Better work/life balance,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Directly asking current or past employees at the company",Once every few years,Not sure,No,Yes,Sometimes: 1-2 days per month but less than weekly,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Linux-based,2 to 9 employees,NA,Android;Docker;Linux,I have a great deal of influence,Straight / Heterosexual,Yes,Neutral,I have never participated in Q&A on Stack Overflow,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,NA,A lot more welcome now than last year,40,20,16,16,15-19 years,0.09989588086840728,1
14971,I am a developer by profession,Yes,29,14,Yearly,91000,91000,United States,United States dollar,USD,NA,Microsoft SQL Server,Front-End Developer,Bachelor's,Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;How widely used or impactful my work output would be;Office environment or company culture,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C#;HTML/CSS,Bash/Shell/PowerShell;C#;HTML/CSS;SQL;TypeScript,.NET;.NET Core;Node.js,.NET;.NET Core;Node.js,Confluence;Jira;Github,Confluence;Jira;Github;Gitlab,Yes,Extremely important,Very important,Curious about other opportunities;Better compensation,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once every few years,Yes,Yes,Yes,Never,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,"1,000 to 4,999 employees",Docker;Windows,Docker;Windows,I have little or no influence,Straight / Heterosexual,Yes,Neutral,A few times per month or weekly,A few times per week,Easy,Too short,No,"Computer science, computer engineering, or software engineering",Angular;ASP.NET;ASP.NET Core,Angular;ASP.NET;ASP.NET Core;jQuery,Somewhat less welcome now than last year,40,11,7,7,5-9 years,0.09989663139846519,1
57247,I am a developer by profession,Yes,37,14,Yearly,102000,102000,United States,United States dollar,USD,Cassandra;MongoDB,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Mobile Developer,Bachelor's,Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Go;Objective-C;PHP,Bash/Shell/PowerShell;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;Swift;TypeScript,Flutter,.NET;.NET Core;Ansible;Node.js;Puppet,Gitlab;Stack Overflow for Teams,Confluence;Jira;Github;Slack;Microsoft Teams;Microsoft Azure,Yes,Extremely important,Very important,Better compensation;Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company;Wanting to work with new technologies;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Every few months,No,No,Yes,Occasionally: 1-2 days per quarter but less than monthly,NA,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,100 to 499 employees,Kubernetes,Android;Arduino;AWS;Docker;iOS;Linux;MacOS;Microsoft Azure;Raspberry Pi;Windows,I have little or no influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",React.js;Vue.js,Angular;Angular.js;ASP.NET;ASP.NET Core;Express;jQuery,Somewhat more welcome now than last year,41,12,5,5,5-9 years,0.1000055514418237,1
40072,I am a developer by profession,Yes,33,20,Yearly,130000,130000,United States,United States dollar,USD,SQLite,Microsoft SQL Server,Back-End Developer,Bachelor's,Employed full-time,White or of European descent,Woman,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,Very satisfied,"I’m not actively looking, but I am open to new opportunities",C#;TypeScript,C#;Java;SQL,.NET;.NET Core;Xamarin,.NET,Microsoft Teams,Microsoft Teams;Microsoft Azure,Yes,Extremely important,Fairly important,Just because;Curious about other opportunities;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,Not sure,Yes,Yes,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with,Amused,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later,Windows,100 to 499 employees,Android;Arduino;Raspberry Pi,NA,I have some influence,Straight / Heterosexual,No,"No, not really",NA,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET;ASP.NET Core,ASP.NET,Just as welcome now as I felt last year,42,10,8,8,5-9 years,0.10001039334202937,1
50831,I am a developer by profession,No,23,16,Weekly,1250,62500,United States,United States dollar,USD,NA,MySQL,"Developer, QA or test",Bachelor's,Employed full-time,White or of European descent,Woman,Flex time or a flexible schedule;Remote work options;Office environment or company culture,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",NA,C#;PHP,NA,.NET,NA,Github,Not sure,Extremely important,Very important,Better work/life balance,Personal network - friends or family,Once a year,Not sure,No,No,Never,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,"10,000 or more employees",NA,Windows,I have little or no influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,NA,Just as welcome now as I felt last year,28,5,2,2,Less than 5 years,0.10023269318051953,1
1442,I am a developer by profession,Yes,24,17,Yearly,92000,92000,United States,United States dollar,USD,Couchbase;Firebase;Microsoft SQL Server;PostgreSQL,Couchbase;IBM DB2;Microsoft SQL Server;Oracle;PostgreSQL,Back-End Developer,Bachelor's,Employed full-time,White or of European descent,Man,"Industry that I’d be working in;Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C#;Go;HTML/CSS;JavaScript;Python;Rust;TypeScript,C#;Go;HTML/CSS;JavaScript;Python;TypeScript,.NET Core;Ansible;Node.js;TensorFlow,.NET;.NET Core;Ansible;Node.js,Github;Slack;Microsoft Teams;Stack Overflow for Teams,Github;Slack;Microsoft Teams,Yes,Extremely important,Not at all important/not necessary,Just because;Curious about other opportunities;Trouble with my direct manager;Trouble with leadership at my company;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once a year,Not sure,Yes,Yes,Sometimes: 1-2 days per month but less than weekly,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate;Play games;Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,MacOS,"1,000 to 4,999 employees",Android;Arduino;AWS;Docker;iOS;Kubernetes;Linux;MacOS;Microsoft Azure;Windows,Arduino;AWS;Docker;Kubernetes;Linux;MacOS;Windows,I have little or no influence,Straight / Heterosexual,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Angular.js;ASP.NET Core;React.js;Vue.js,Angular;Angular.js;ASP.NET;ASP.NET Core;jQuery;React.js,Just as welcome now as I felt last year,40,6,2,2,Less than 5 years,0.10023376703371012,1
